scenario_id,title,category,approach,rank,test_path,score,is_expected
S01,Изменение логики авторизации,auth,ml,1,test/unit/feature/auth/auth_cubit_test.dart,0.9999091809874212,True
S01,Изменение логики авторизации,auth,ml,2,test/unit/feature/auth/credential_cubit_test.dart,0.9999091809874212,True
S01,Изменение логики авторизации,auth,ml,3,test/unit/feature/pages/all_pages_constructor_smoke_test.dart,0.002894335009558856,False
S01,Изменение логики авторизации,auth,ml,4,test/widget_test.dart,0.002512446156381451,False
S01,Изменение логики авторизации,auth,ml,5,test/widget/feature/pages/pages_widget_smoke_test.dart,0.002453141305377813,False
S01,Изменение логики авторизации,auth,baseline,1,test/unit/feature/auth/auth_cubit_test.dart,5.0,True
S01,Изменение логики авторизации,auth,baseline,2,test/unit/feature/auth/credential_cubit_test.dart,4.0,True
S01,Изменение логики авторизации,auth,baseline,3,test/unit/feature/income/income_cubit_test.dart,3.0,False
S01,Изменение логики авторизации,auth,baseline,4,test/unit/feature/menu/menu_cubit_test.dart,2.0,False
S01,Изменение логики авторизации,auth,baseline,5,test/unit/feature/payment/payment_cubit_test.dart,1.0,False
S02,Изменение платежного сценария,payment,ml,1,test/unit/feature/payment/payment_cubit_test.dart,0.9999052851748519,True
S02,Изменение платежного сценария,payment,ml,2,test/unit/feature/pages/all_pages_constructor_smoke_test.dart,0.002894335009558856,False
S02,Изменение платежного сценария,payment,ml,3,test/widget_test.dart,0.002512446156381451,False
S02,Изменение платежного сценария,payment,ml,4,test/widget/feature/pages/pages_widget_smoke_test.dart,0.002453141305377813,True
S02,Изменение платежного сценария,payment,ml,5,test/unit/feature/account/account_balance_calculator_test.dart,0.0009202119387727064,False
S02,Изменение платежного сценария,payment,baseline,1,test/unit/feature/payment/payment_cubit_test.dart,5.0,True
S02,Изменение платежного сценария,payment,baseline,2,test/unit/feature/auth/auth_cubit_test.dart,4.0,False
S02,Изменение платежного сценария,payment,baseline,3,test/unit/feature/income/income_cubit_test.dart,3.0,False
S02,Изменение платежного сценария,payment,baseline,4,test/unit/feature/menu/menu_cubit_test.dart,2.0,False
S02,Изменение платежного сценария,payment,baseline,5,test/unit/feature/auth/credential_cubit_test.dart,1.0,False
S03,Изменение формы доходов и расходов,income,ml,1,test/unit/feature/income/income_cubit_test.dart,0.999805354376759,True
S03,Изменение формы доходов и расходов,income,ml,2,test/unit/feature/pages/all_pages_constructor_smoke_test.dart,0.002894335009558856,False
S03,Изменение формы доходов и расходов,income,ml,3,test/widget_test.dart,0.002512446156381451,False
S03,Изменение формы доходов и расходов,income,ml,4,test/widget/feature/pages/pages_widget_smoke_test.dart,0.002453141305377813,False
S03,Изменение формы доходов и расходов,income,ml,5,test/unit/feature/account/account_balance_calculator_test.dart,0.0009202119387727064,False
S03,Изменение формы доходов и расходов,income,baseline,1,test/unit/feature/income/income_cubit_test.dart,5.0,True
S03,Изменение формы доходов и расходов,income,baseline,2,test/unit/feature/auth/auth_cubit_test.dart,4.0,False
S03,Изменение формы доходов и расходов,income,baseline,3,test/unit/feature/menu/menu_cubit_test.dart,3.0,False
S03,Изменение формы доходов и расходов,income,baseline,4,test/unit/feature/payment/payment_cubit_test.dart,2.0,False
